Seq,ra,dec,z,gmag,rmag,FUVmag,NUVmag,Morph,Dist,g-r,BMag,logM*,M1:M2,SFR,logMHI,Sat,Ngh,DR12,Sloan,SimbadName,NED
101,193.7166,2.6527,0.0031,13.3,13.11,14.14,14.38,I,17.85,0.19,-17.6,9.0,,-0.38,8.71,0,6,DR12,Sloan,NGC 4809;NGC4810,NED
102,194.2144,16.5067,0.0041,15.72,15.09,,,TE,17.37,0.63,-15.06,8.7,,,9.4,0,3,DR12,Sloan,SDSS J125651.47+163024.2,NED
103,194.6983,-4.3861,0.0047,16.36,16.0,16.86,17.54,T,19.92,0.36,-14.8,8.16,,-1.37,,1,12,DR12,Sloan,2dFGRS TGN131Z189,NED
104,199.218,12.5482,0.0032,13.85,13.55,15.43,15.07,Sh,13.55,0.3,-16.49,8.74,,-1.13,9.96,0,9,DR12,Sloan,NGC  5058,NED
105,199.9133,30.2566,0.0071,13.41,13.03,15.92,15.38,T,48.25,0.38,-19.57,9.99,,-0.23,,0,2,DR12,Sloan,NGC  5089,NED
106,202.1943,-2.038,0.0123,14.29,13.91,15.45,15.87,TS,52.43,0.38,-18.96,9.85,2,0.03,9.91,0,5,DR12,Sloan,LEDA   47278,NED
107,202.5723,31.3327,0.0161,14.46,14.29,15.82,15.47,IM,68.82,0.17,-19.45,9.71,2,0.12,,0,4,DR12,Sloan,UGC  8496,NED
108,203.2852,54.8275,0.0176,15.49,15.19,,,E,75.32,0.3,-18.57,9.57,,,,1,4,DR12,Sloan,LEDA   47713,NED
109,203.5622,31.425,0.0166,14.97,14.77,16.27,15.89,I,73.8,0.2,-19.08,9.61,,0.0,,1,13,DR12,Sloan,UGC  8548,NED
110,205.7475,52.6883,0.0059,16.18,15.87,,,I,25.03,0.31,-15.49,8.35,20,,,0,9,DR12,Sloan,Mrk 1481,NED
111,205.8047,36.7493,0.0197,15.64,15.28,16.75,15.84,TS,84.44,0.36,-18.65,9.7,,-0.07,9.34,0,6,DR12,Sloan,2MASX J13431319+3644574,NED
112,205.8624,43.1885,0.0083,16.18,15.98,17.82,17.17,Sh,35.27,0.2,-16.27,8.49,1,-1.26,9.41,0,5,DR12,Sloan,LEDA 2214957,NED
113,207.4594,37.7306,0.0081,16.01,15.7,17.09,17.36,IB,34.42,0.31,-16.35,8.69,,-0.99,,0,6,DR12,Sloan,LEDA 2108063,NED
114,207.9732,64.3728,0.0058,15.11,14.93,16.27,15.88,IM,28.4,0.18,-16.87,8.69,1,-0.83,,1,5,DR12,Sloan,LEDA   49221,NED
115,208.9394,-6.0028,0.0066,14.48,14.21,15.25,15.68,I,28.01,0.27,-17.45,9.07,2,-0.43,10.0,0,2,DR12,Sloan,LEDA   49521,NED
116,209.1966,-4.6923,0.0098,16.99,16.81,17.0,17.78,T,41.69,0.18,-15.83,8.28,4,-0.79,,0,7,DR12,Sloan,2dFGRS TGN082Z190,NED
117,209.2236,36.9454,0.0197,17.59,17.45,17.07,16.06,I,84.44,0.14,-16.77,8.59,1,-0.2,9.03,0,6,DR12,Sloan,SDSS J135653.68+365643.4,NED
118,210.1351,55.246,0.0127,16.04,15.91,16.83,16.59,I,54.15,0.13,-17.36,8.81,,-0.49,9.4,1,15,DR12,Sloan,LEDA 2816073,NED
119,210.4178,7.9979,0.0179,16.93,16.59,18.53,17.48,I,76.62,0.34,-17.16,9.07,,-0.87,9.37,1,5,DR12,Sloan,SDSS J140140.28+075952.7,NED
120,211.2216,12.7288,0.0136,13.81,13.6,14.2,14.35,I,58.03,0.21,-19.72,9.88,,0.62,9.51,0,6,DR12,Sloan,UGC  9002,NED
121,212.5531,-2.5744,0.0051,13.44,13.15,15.34,15.18,IM,28.75,0.29,-18.53,9.54,,-0.44,9.4,0,4,DR12,Sloan,UGC  9057,NED
122,214.6066,25.5018,0.0149,15.25,14.92,,,LS,60.2,0.33,-18.32,9.52,,,9.73,0,9,DR12,Sloan,LEDA   51103,NED
123,214.6805,21.8175,0.0085,14.66,14.71,15.79,15.53,IM,36.13,-0.05,-17.92,8.74,10,-0.43,9.63,0,11,DR12,Sloan,LEDA   51120,NED
124,215.3427,-3.7588,0.0091,14.44,14.24,,15.59,LS,39.0,0.2,-18.23,9.27,,-0.44,8.84,0,3,DR12,Sloan,LEDA   51291,NED
125,217.4622,44.4476,0.0092,14.46,14.24,16.37,16.0,IM,42.3,0.22,-18.37,9.36,,-0.52,8.46,1,9,DR12,Sloan,LEDA   51798,NED
126,217.7876,27.2373,0.015,14.41,14.26,,,I,64.07,0.15,-19.35,9.63,11,,9.5,0,3,DR12,Sloan,Mrk  685,NED
127,219.0358,28.4505,0.0063,15.43,15.14,16.75,16.43,Sh,26.73,0.29,-16.39,8.68,8,-1.07,8.88,0,9,DR12,Sloan,[H56] 43,NED
128,219.1908,51.4597,0.0078,15.56,15.13,17.38,16.87,E,33.13,0.43,-16.68,9.02,120,-1.14,9.0,0,8,DR12,Sloan,LEDA   52226,NED
129,219.9387,23.3965,0.015,15.73,15.6,17.38,16.74,I,82.9,0.13,-18.59,9.3,1,-0.34,,0,5,DR12,Sloan,UGC  9450,NED
130,221.3852,31.4155,0.0049,14.65,14.56,15.38,14.97,I,20.77,0.09,-16.68,8.47,2,-0.74,8.46,0,13,DR12,Sloan,UGC  9506,NED
131,222.2,-3.7163,0.0031,14.24,13.98,14.96,15.26,I,17.3,0.26,-16.64,8.73,,-0.73,,0,4,DR12,Sloan,LEDA   52893,NED
132,222.4531,36.3965,0.0062,16.33,16.22,17.16,16.9,I,26.3,0.11,-15.51,8.03,,-1.25,8.45,0,2,DR12,Sloan,HS 1447+3636,NED
133,222.7356,35.5721,0.0039,14.41,14.29,15.12,15.0,I,23.1,0.12,-17.15,8.71,,-0.55,9.51,0,2,DR12,Sloan,UGC  9560,NED
134,223.5488,30.2095,0.0094,14.72,14.6,15.87,15.65,A,39.98,0.12,-18.03,9.06,6,-0.37,,0,3,DR12,Sloan,UGC  9588,NED
