Seq,ra,dec,z,gmag,rmag,FUVmag,NUVmag,Morph,Dist,g-r,BMag,logM*,M1:M2,SFR,logMHI,Sat,Ngh,DR12,Sloan,SimbadName,NED
44,149.1918,28.8288,0.0015,14.38,14.33,15.56,15.49,T,6.34,0.05,-14.39,7.49,,-1.85,7.66,0,5,DR12,Sloan,UGC 5340,NED
45,150.0195,45.5198,0.0056,16.5,16.35,,,I,23.75,0.15,-15.11,7.94,,,,0,11,DR12,Sloan,KUG 0956+457,NED
46,150.0242,43.1919,0.0056,15.31,15.02,,,Sh,23.75,0.29,-16.25,8.62,,,,0,4,DR12,Sloan,LEDA 2215068,NED
47,150.3099,37.0709,0.0048,15.33,15.19,16.71,16.1,Sh,20.34,0.14,-15.94,8.26,,-1.29,,0,3,DR12,Sloan,LEDA   29004,NED
48,151.8945,-6.5232,0.0158,15.31,14.99,16.3,16.76,IM,67.53,0.32,-18.51,9.58,,-0.09,9.06,0,5,DR12,Sloan,2dFGRS TGN037Z230,NED
49,152.043,2.4634,0.0068,14.96,14.24,17.93,16.82,E,28.86,0.72,-16.89,9.58,3,-1.48,8.55,1,18,DR12,Sloan,LEDA   29471,NED
50,152.6575,5.1502,0.0137,14.85,14.48,16.38,17.18,S,58.46,0.37,-18.64,9.71,,-0.24,,1,19,DR12,Sloan,Z  36-48,NED
51,154.2989,4.3312,0.0045,15.63,15.35,17.4,17.22,IB,17.8,0.28,-15.31,8.23,,-1.69,7.84,1,44,DR12,Sloan,UGC  5551,NED
52,154.3874,43.1448,0.0037,16.14,15.8,,,Sh,15.67,0.34,-14.51,8.01,,,9.15,0,,DR12,Sloan,KUG 1014+433,NED
53,154.7562,21.2836,0.0036,14.56,14.34,16.21,15.94,TS,24.8,0.22,-17.11,8.86,,-0.92,8.72,0,2,DR12,Sloan,LEDA   30133,NED
54,156.2691,17.1494,0.0025,11.54,11.3,12.29,12.87,TS,10.15,0.24,-18.19,9.32,,-0.13,,0,2,DR12,Sloan,NGC  3239,NED
55,157.4553,16.1809,0.0108,15.12,14.89,16.96,17.18,SL,45.98,0.23,-17.89,9.18,14,-0.68,8.19,0,,DR12,Sloan,Mrk  631,NED
56,158.5039,-2.3663,0.0067,15.15,15.13,15.63,15.95,T,28.44,0.02,-16.89,8.44,,-0.57,,0,,DR12,Sloan,LEDA   31246,NED
57,158.6911,50.7683,0.002,14.14,13.78,15.53,,I,18.5,0.36,-16.68,8.91,6,-0.9,9.17,1,40,DR12,Sloan,UGC  5740,NED
58,158.8002,46.2367,0.0016,16.68,16.41,18.44,17.51,Sh,6.76,0.27,-12.16,6.95,,-2.94,9.4,1,10,DR12,Sloan,SDSS J103512.07+461412.2,NED
59,163.3549,16.7711,0.0035,12.58,12.33,13.69,14.18,I,14.82,0.25,-17.96,9.24,,-0.36,9.49,0,1,DR12,Sloan,LEDA   32694,NED
60,163.4561,57.1186,0.0064,13.75,13.45,15.46,14.77,T,40.05,0.3,-18.94,9.72,2,-0.2,,0,5,DR12,Sloan,NGC  3440,NED
61,163.6635,54.3052,0.0045,11.99,11.63,13.94,13.3,I,24.5,0.36,-19.61,9.99,7,-0.02,,,,DR12,Sloan,NGC  3448,NED
62,165.4623,16.6069,0.0098,14.27,13.94,16.26,15.72,F,49.5,0.33,-18.88,9.74,40,-0.34,8.8,0,3,DR12,Sloan,UGC  6104,NED
63,167.4654,-2.9778,0.0172,15.19,14.89,17.05,17.64,I,73.59,0.3,-18.82,9.67,16,-0.31,9.33,1,27,DR12,Sloan,Z  11-14,NED
64,168.4562,21.5205,0.0048,14.66,14.26,,,I,26.1,0.4,-17.07,9.13,5,,9.56,0,4,DR12,Sloan,UGC  6258,NED
