Host,D_Mpc,mu_r_limit,DSI_max,DSI_avg,mu_g_stream,mu_r_stream,g_r_0_stream,Reference
NGC0636,29.2,28.88,45.58,31.86,26.66	+/- 0.03,25.86	+/- 0.02,0.75 	+/- 0.04,(*)
NGC1079,31.4,28.78,15.24,11.31,27.51	+/- 0.05,27.00 	+/- 0.05,0.48 	+/- 0.07,(*)
NGC1209,38.3,28.91,8.85,4.71,28.71	+/- 0.05,27.98 	+/- 0.03,0.68 	+/- 0.07,(*)
NGC1309,34.3,28.76,24.42,23.02,25.66	+/- 0.02,26.26 	+/- 0.02,0.56 	+/- 0.02,(1)
NGC2460,34.8,28.81,10.39,8.06,27.50	+/- 0.05,26.57 	+/- 0.04,0.85 	+/- 0.02,(3)
NGC2543,37.6,28.55,10.18,9.00,26.66	+/- 0.06,25.86	+/- 0.06,0.72	+/- 0.08,(*)
NGC2648,32.7,28.19,22.70,16.62,26.49	+/- 0.03,25.96	+/- 0.04,0.49	+/- 0.05,(*)
NGC2701,36.5,28.58,6.63,5.55,26.85	+/- 0.07,26.47	+/- 0.08,0.37	+/- 0.10,(*)
NGC2782,39.9,28.51,28.69,20.55,26.14	+/- 0.01,25.63	+/- 0.02,0.48	+/- 0.02,(4)
NGC3614,36.1,28.57,9.79,6.64,27.78	+/- 0.06,27.07	+/- 0.05,0.68	+/- 0.08,(*)
NGC3689,39.8,28.00,10.75,6.45,27.55	+/- 0.05,26.82	+/- 0.05,0.56  +/- 0.07,(1)
NGC4378,37.2,28.21,24.06,22.17,27.24	+/- 0.03,26.53	+/- 0.03,0.68	+/- 0.04,(*)
NGC4750,27.7,28.57,54.58,35.07,26.81	+/- 0.02,26.30	+/- 0.03,0.48	+/- 0.03,(*)
NGC4793,36.3,28.11,20.02,18.04,26.16	+/- 0.04,25.60	+/- 0.06,0.55	+/- 0.07,(*)
NGC4799,40.1,27.93,8.49,6.98,26.65	+/- 0.04,26.20	+/- 0.07,0.41	+/- 0.08,(*)
NGC5297,35.5,28.55,28.00,18.58,26.35	+/- 0.04,25.70	+/- 0.04,0.63	+/- 0.05,(*)
NGC5493,40.05,28.30,32.96,28.06,26.38	+/- 0.02,25.69	+/- 0.02,0.63	+/- 0.003,(*)
NGC5604,39.0,28.18,12.29,9.93,26.35	+/- 0.05,25.81	+/- 0.05,0.46	+/- 0.07,(*)
NGC5631,31.7,28.54,12.88,10.01,27.60	+/- 0.04,26.98	+/- 0.04,0.59	+/- 0.06,(*)
NGC5750,25.3,28.23,29.41,27.37,27.38	+/- 0.05,26.69	+/- 0.04,0.63	+/- 0.06,(2)
NGC5812,27.2,28.38,55.09,30.73,26.54	+/- 0.04,25.67	+/- 0.02,0.77	+/- 0.04,(*)
NGC7721,31.8,27.87,19.44,13.24,25.79	+/- 0.03,25.23	+/- 0.04,0.53	+/- 0.04,(3)
