object_id,ra,dec,phot_z,stellar_mass,P_merge,vis_class,tidal_feature_vis,shell,stream,tail,plume,double_nucleus,vis_class_flag
37494467493649455,36.50884333894795,-5.017461892478463,0.21424511075019836,7227400192.0,0.5256896018981934,1,0,0,0,0,0,0,0
38553834062113084,35.76172014026179,-4.077294029472878,0.19097620248794556,18660999168.0,0.7601062059402466,1,0,0,0,0,0,0,0
75958957646059691,244.16524740223758,56.03700560191644,0.1989406943321228,21785999360.0,0.844653844833374,1,0,0,0,0,0,0,0
44223049158911092,150.0308137738979,3.1717841373465134,0.24117489159107208,4946999808.0,0.7989453673362732,1,0,0,0,0,0,0,1
75959498811929919,242.80867934033472,55.578848072602476,0.21010398864746094,161870004224.0,0.9826143980026245,1,1,0,0,0,1,1,0
42691992102152357,353.2456881962211,0.8358836682673996,0.13598181307315826,42025000960.0,0.6003800630569458,1,0,0,0,0,0,0,0
37489107374469337,36.238780157585964,-4.974696328977898,0.10353635251522064,22225000448.0,0.8913383483886719,1,0,0,0,0,0,0,0
75959786574739442,242.17533841605535,56.126352984189786,0.368053138256073,114819997696.0,0.8518233299255371,1,1,0,0,0,1,1,0
75338691354064267,243.33426788244944,54.27708979946408,0.20860838890075684,205659996160.0,0.9085525274276733,1,1,0,0,0,0,1,0
41624100023600224,352.0818536511902,-0.3533588345224536,0.29430869221687317,52465000448.0,0.7665838003158569,1,0,0,0,0,0,0,0
74701537250667691,243.72873373034952,53.340215172856446,0.15024106204509735,11322000384.0,0.712731122970581,1,1,0,0,0,1,0,0
38549569159599611,34.04391032259055,-4.211131959702394,0.08614013344049454,18644000768.0,0.9037171602249146,1,1,0,0,0,1,1,1
42094407532434345,150.93107846854,0.7046771212363788,0.05049819499254227,13118000128.0,0.8964054584503174,1,0,0,0,0,0,0,0
38549431720628874,34.16550410944804,-4.354714383828992,0.1270236074924469,64047001600.0,0.9706372618675232,1,0,0,0,0,0,0,0
42090297248735666,149.10812400489624,1.3032025063457475,0.1971103399991989,68224000000.0,0.876114010810852,1,0,0,0,0,0,0,0
41628635509060120,353.3606621918496,-0.3576349042441923,0.22499457001686096,5464999936.0,0.7408735752105713,1,0,0,0,0,0,0,0
41623812260783650,352.33167660509395,-0.96366834515224,0.1799466758966446,14005000192.0,0.7092418074607849,1,0,0,0,0,0,0,0
75338966231974851,242.83957198656313,54.285892228244016,0.10941936820745468,17661999104.0,0.8170331716537476,1,0,0,0,0,0,0,0
75339369958902701,241.81245918992784,53.96465281493349,0.2036578357219696,90650001408.0,0.8521286249160767,1,1,0,0,0,1,0,0
37494205500643368,36.88482966076667,-4.4853005420186545,0.1489044725894928,6979899904.0,0.6685494184494019,1,0,0,0,0,0,0,0
75339378548832147,241.93245407939258,54.300014242166576,0.36724165081977844,32244000768.0,0.7175246477127075,1,1,0,0,0,1,1,0
75343909739331263,243.94740222372815,54.10686770033702,0.17835190892219543,85677998080.0,0.8886760473251343,1,0,0,0,0,0,0,0
37489253403361230,36.09662163378362,-4.570691033208532,0.1324910968542099,17767999488.0,0.5056709051132202,1,0,0,0,0,0,0,0
42697073048451107,353.7940420766818,0.5315136658140095,0.09275903552770615,36501999616.0,0.8072666525840759,1,1,0,0,0,1,1,0
41623820850727834,352.4898634972985,-0.527364081375454,0.1879683881998062,117049999360.0,0.5487329959869385,1,0,0,0,0,0,0,0
75954688448560002,241.16740274740343,55.651135946984255,0.15907207131385803,9182300160.0,0.5570598244667053,1,0,0,0,0,0,0,0
37489098784534135,36.316149442932534,-5.39039783495259,0.20001086592674255,68620001280.0,0.8682985901832581,1,0,0,0,0,0,0,0
38548886259794505,34.92296081558414,-4.01175645828047,0.2067761868238449,35028000768.0,0.9608843326568604,1,1,0,0,0,1,1,0
37489519691325108,35.76384392039719,-5.08921322435691,0.3014233708381653,23491000320.0,0.6283929944038391,1,0,0,0,0,0,0,0
75959103674944775,243.7453015943564,56.34823456040546,0.1738843321800232,19179999232.0,0.6868671774864197,1,0,0,0,0,0,0,0
75959365667952022,243.17646863035378,55.812686447559365,0.2830383777618408,170849992704.0,0.9065086841583252,1,0,0,0,0,0,0,0
75959644840826410,242.35505002377465,56.01351891889703,0.1663803607225418,28327999488.0,0.7125824689865112,1,0,0,0,0,0,0,0
75954954736526982,240.3854839895784,55.19004871876439,0.22176745533943176,114779996160.0,0.7470946311950684,1,1,0,0,0,1,0,0
42692821030826234,352.0411768682787,0.869212417966672,0.11802121996879578,17095999488.0,0.8068237900733948,1,0,0,0,0,0,0,0
38558640130519372,36.62812314178579,-4.2151997558127325,0.13588285446166992,33679998976.0,0.8403258323669434,1,1,0,0,1,0,1,0
42697073048453824,353.65198235065,0.5610616875240958,0.2890807092189789,4869600256.0,0.8077429533004761,1,0,0,0,0,0,0,0
37489940598121561,35.09111274269442,-4.663918407244236,0.1379300206899643,27570999296.0,0.8961118459701538,1,0,0,0,0,0,0,0
38554388112888135,34.99995083477329,-3.952332942602787,0.22458605468273163,11605000192.0,0.8217442035675049,1,0,0,0,0,0,0,0
75959086495072653,243.68874632672055,55.59172655470003,0.1823628693819046,28472000512.0,0.7793123722076416,1,0,0,0,0,0,0,0
42687997782549285,351.12691693565307,0.2863298254244548,0.1425839364528656,25460000768.0,0.6285668611526489,1,0,0,0,0,0,0,0
43154323856712591,148.5958771171672,1.6638327415866745,0.18851178884506226,63947001856.0,0.6916533708572388,1,1,0,0,0,1,0,0
42093866366550211,151.68311268206628,1.0410179013089695,0.08248705416917801,6896000000.0,0.9410269260406494,1,0,0,0,0,0,0,0
75959490221996505,242.88433052364456,55.202846795407744,0.19548505544662476,19872999424.0,0.3858734965324402,1,1,0,1,0,0,1,0
