Name,Votes,No,Streams,Tails,Plumes,Shells,Disturbed,Spiral,Curiosities,Majority feature,Score,STRRINGS,RA,DEC
NGC1979,"{Shells: 7, Streams: 2}",0,2,0,0,7,0,0,0,Shells,0.78,,83.50456664847997,-23.310113061394432
NGC1993,"{Disturbed: 2, Streams: 2, No: 3, Shells: 1}",3,2,0,0,1,2,0,0,Streams,0.25,,83.85654208434072,-17.81531832887651
NGC2007,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,83.74660696441678,-50.92166660070344
NGC2049,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,85.81373380345693,-30.078433990402832
NGC2073,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,86.4745631674028,-21.99916757918265
NGC2087,"{Disturbed: 1, Streams: 2, No: 3, Spiral: 1, Plumes: 1}",3,2,0,1,0,1,1,0,Streams,0.25,,86.06724751549528,-55.53257972816838
NGC2090,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,86.75762159138165,-34.25053629731109
NGC2101,"{No: 3, Shells: 2, Disturbed: 3, Plumes: 1}",3,0,0,1,2,3,0,0,Disturbed,0.34,,86.59692349586861,-52.08971378414037
NGC2104,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,86.76891247293537,-51.552512909442726
NGC2106,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,87.69433665528155,-21.56722207768138
NGC2128,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,91.14264088237971,57.627677571636596
NGC2131,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,89.6978546241326,-26.652796129870232
NGC2139,"{Tails: 3, Streams: 4, No: 1}",1,4,3,0,0,0,0,0,Streams,0.5,,90.28334111244168,-23.672548424986722
NGC2146,"{Tails: 3, No: 1, Streams: 3, Disturbed: 1}",1,3,3,0,0,1,0,0,Streams,0.38,,94.66467349284308,78.3567875958652
NGC2146A,"{Curiosities: 1, No: 5, Spiral: 1, Streams: 1}",5,1,0,0,0,0,1,1,No,0.62,,95.97949269942714,78.53020297350623
NGC2188_GROUP,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,92.5413778930468,-34.10552222661309
NGC2191,"{Tails: 3, No: 2, Plumes: 3}",2,0,3,3,0,0,0,0,Tails,0.38,,92.09939591657724,-52.51231438374621
NGC2200,"{Curiosities: 1, Spiral: 3, No: 2, Streams: 2}",2,2,0,0,0,0,3,1,Spiral,0.38,,93.32332077176906,-43.66315812711619
NGC2201,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,93.38167508384058,-43.70472565144909
NGC2208,"{Disturbed: 2, No: 3, Shells: 2, Plumes: 1}",3,0,0,1,2,2,0,0,Shells,0.25,,95.64450369924083,51.90950332955246
NGC2221_GROUP,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,95.06560972247169,-57.57803162684533
NGC2253,"{Tails: 1, Streams: 5, No: 1, Spiral: 1}",1,5,1,0,0,0,1,0,Streams,0.63,,100.92412193846039,65.2063293123403
NGC2273,{No: 2},2,0,0,0,0,0,0,0,No,1.0,,102.53617463147896,60.84573798917125
