Name,Votes,No,Streams,Tails,Plumes,Shells,Disturbed,Spiral,Curiosities,Majority feature,Score,STRRINGS,RA,DEC
UGC03445_GROUP,"{Plumes: 1, Streams: 4, Disturbed: 1, Tails: 2}",0,4,2,1,0,1,0,0,Streams,0.5,,95.38666452480375,59.12673285244025
UGC03448,"{Streams: 3, No: 4, Tails: 1}",4,3,1,0,0,0,0,0,Streams,0.38,,95.61783580220718,66.57851894600542
UGC03596,"{Shells: 1, Streams: 4, No: 2, Disturbed: 1}",2,4,0,0,1,1,0,0,Streams,0.5,,103.89882178844799,39.76448237905002
UGC03601,"{Shells: 1, Streams: 2, No: 3, Plumes: 1, Disturbed: 1}",3,2,0,1,1,1,0,0,Streams,0.25,,103.95635591202684,40.00028274610277
UGC03714,"{Shells: 3, Streams: 4, No: 2}",2,4,0,0,3,0,0,0,Streams,0.45,,108.13631654971196,71.75045989388644
UGC03723,"{Tails: 1, Streams: 6, No: 2}",2,6,1,0,0,0,0,0,Streams,0.67,,107.67542667722587,34.42107629693921
UGC03724,"{Tails: 3, Streams: 3, No: 1, Spiral: 1}",1,3,3,0,0,0,1,0,Streams,0.38,,107.8665000773516,48.240176713377195
UGC03789,"{Spiral: 2, Streams: 2, Shells: 1, No: 2, Tails: 1}",2,2,1,0,1,0,2,0,Streams,0.25,,109.87892658243598,59.35509910043537
UGC03836,"{Spiral: 3, No: 2, Streams: 3}",2,3,0,0,0,0,3,0,Streams,0.38,,111.68764747449245,64.80842699799729
UGC03859,"{Plumes: 3, Streams: 3, No: 2}",2,3,0,3,0,0,0,0,Streams,0.38,,112.70215330425647,73.70638178757179
UGC03897,"{Spiral: 2, Streams: 2, No: 2, Disturbed: 1, Shells: 1}",2,2,0,0,1,1,2,0,Streams,0.25,,113.3331757298577,59.62541255269955
UGC03937,"{Tails: 3, Streams: 3, Spiral: 2}",0,3,3,0,0,0,2,0,Streams,0.38,,114.3966464425937,35.60579290544351
UGC04001,"{Streams: 2, No: 4, Disturbed: 1, Plumes: 1}",4,2,0,1,0,1,0,0,Streams,0.25,,116.60382510726933,62.48592868945639
UGC04206,"{Tails: 1, Streams: 3, No: 3, Plumes: 1}",3,3,1,1,0,0,0,0,Streams,0.37,,121.66110522140906,67.04833018727531
UGC04228,"{Tails: 2, Streams: 5, Plumes: 1, Shells: 1}",0,5,2,1,1,0,0,0,Streams,0.56,,121.69993103362378,5.309395081835375
UGC04254,"{Curiosities: 2, Streams: 2, No: 3, Disturbed: 1}",3,2,0,0,0,1,0,2,Streams,0.25,,122.35038567784682,0.6095354899130194
UGC04323,"{Shells: 3, Streams: 3, No: 2, Disturbed: 1}",2,3,0,0,3,1,0,0,Streams,0.34,,125.08292257244162,66.98194803343549
UGC04346,"{Spiral: 2, Streams: 4, Tails: 2}",0,4,2,0,0,0,2,0,Streams,0.5,,125.1700154681933,25.90535435042854
UGC04386,"{Plumes: 2, Streams: 2, No: 3, Shells: 1}",3,2,0,2,1,0,0,0,Streams,0.25,,126.00672594275406,21.027242952938803
UGC04415,"{Spiral: 2, No: 2, Streams: 2, Tails: 1, Disturbed: 1}",2,2,1,0,0,1,2,0,Streams,0.25,,127.00819508073964,54.44700941456855
UGC04491,"{Curiosities: 1, Streams: 3, No: 2, Spiral: 1, Tails: 1}",2,3,1,0,0,0,1,1,Streams,0.38,,128.9521780563631,1.7217697804680616
UGC04494,"{No: 4, Tails: 1, Spiral: 1, Streams: 2}",4,2,1,0,0,0,1,0,Streams,0.25,,129.02214705063736,1.8940652634691935
UGC04568,"{Streams: 2, No: 4, Tails: 1, Disturbed: 1}",4,2,1,0,0,1,0,0,Streams,0.25,,131.1817655867854,10.47231295491456
UGC04587,"{Shells: 2, No: 2, Streams: 3, Tails: 1}",2,3,1,0,2,0,0,0,Streams,0.38,,131.8447408260254,49.55877594377023
UGC04671,"{Streams: 4, No: 2, Disturbed: 1, Shells: 1}",2,4,0,0,1,1,0,0,Streams,0.5,,134.1780224876873,52.105383345898765
UGC04809,"{No: 3, Streams: 3, Spiral: 2}",3,3,0,0,0,0,2,0,Streams,0.37,,137.33455921532794,20.69729049056858
UGC04861,"{Plumes: 1, Streams: 4, No: 1, Shells: 2}",1,4,0,1,2,0,0,0,Streams,0.5,,138.39827885335728,12.440830046412188
UGC05042,"{Curiosities: 1, No: 3, Spiral: 1, Streams: 1, Disturbed: 1, Tails: 1}",3,1,1,0,0,1,1,1,Streams,0.12,,142.27358193975707,66.45797035787477
