#name,ra,dec,z_lens,z_source,zl_phot,zs_phot,Rein,lens_mag_i,source_mag_i,type,discovery,grade,Reference
221000+003118,332.500817,0.521696,-99.000,-99.000,0.41,-99.00,-99.00,18.51,-99.00,GG,V,C,SuGOHI6
121403+001602,183.512745,0.267243,0.461,-99.000,0.46,-99.00,-99.00,18.51,-99.00,GG,VY,C,"LinKS SuGOHI6"
221234+045456,333.143780,4.915810,-99.000,-99.000,0.26,-99.00,-99.00,18.51,22.78,GG,Y,B,"HOLISMOKES8 SuGOHI2"
100703+020834,151.766410,2.143030,-99.000,-99.000,0.35,-99.00,-99.00,18.52,-99.00,GG,CNN,A,"HOLISMOKES8 DECaLS SuGOHI10 HOLISMOKES6+13"
163333+421416,248.390400,42.238000,-99.000,-99.000,0.40,0.78,-99.00,18.52,19.43,GG,V,C,"SuGOHI5 SuGOHI6"
145354-012800,223.477926,-1.466753,-99.000,-99.000,0.32,-99.00,-99.00,18.53,-99.00,GG,VY,C,SuGOHI6
230815-001723,347.063200,-0.289700,-99.000,-99.000,0.42,-99.00,-99.00,18.53,-99.00,GG,V,C,SuGOHI5
230556+000459,346.485700,0.083200,-99.000,-99.000,0.40,0.77,-99.00,18.53,24.89,CG,V,C,SuGOHI5
143121-005344,217.838200,-0.895600,-99.000,-99.000,0.43,-99.00,-99.00,18.53,-99.00,CG,V,C,SuGOHI5
145039+005542,222.666300,0.928400,-99.000,-99.000,0.44,1.52,-99.00,18.53,24.87,CG,V,A,SuGOHI5
141751+011918,214.466502,1.321694,-99.000,-99.000,0.42,-99.00,-99.00,18.55,-99.00,GG,VY,C,SuGOHI6
092136+021409,140.402400,2.236000,-99.000,-99.000,0.33,-99.00,-99.00,18.55,20.28,CG,"VY CNN V",B,"HOLISMOKES8 HOLISMOKES13 SuGOHI5 SuGOHI6"
015834-042410,29.643517,-4.402819,-99.000,-99.000,0.44,-99.00,-99.00,18.56,23.42,GG,"CNN Y",C,"SuGOHI1 SuGOHI10"
