Feature_ID,Type,Galaxy,Length_kpc,Area_kpc2,Width_kpc,SB_mag_arcsec2,Flux_pct,Total_galaxy_mag
1,Stream,IC1024,49.4,270.8,5.4773,27.3,2.6,12.604971691709292
2,Stream,IC1024,32.4,126.5,3.9077,27.5,1.0,12.604971691709292
3,Stream,IC3102,25.9,113.0,4.3673,26.2,2.7,11.070692991189052
4,Stream,NGC0474,135.1,751.6,5.5623,25.3,21.6,10.862496310149435
5,Stream,NGC0474,59.7,176.0,2.9457,26.0,0.9,10.862496310149435
6,Stream,NGC0474,131.4,727.5,5.5352,25.8,14.0,10.862496310149435
7,Stream,NGC0518,40.8,274.0,6.7149,26.5,3.3,12.633714225829767
9,Tail,NGC0532,9.1,53.7,5.8668,26.1,1.2,11.872512163241137
8,Tail,NGC0532,28.2,171.0,6.0612,25.7,2.8,11.872512163241137
10,Tail,NGC0678,17.0,184.2,10.8666,23.7,8.3,11.661787221504966
11,Tail,NGC0678,22.9,171.9,7.4895,23.6,8.5,11.661787221504966
12,Stream,NGC0680,14.0,31.3,2.2290,26.1,0.2,11.366198712069863
13,Tail,NGC0680,18.8,161.2,8.5984,25.4,1.5,11.366198712069863
14,Tail,NGC0680,18.4,197.2,10.6921,27.1,-1.8,11.366198712069863
15,Stream,NGC0770,44.0,205.8,4.6769,25.6,6.9,12.955235507476417
17,Tail,NGC0925,9.2,29.3,3.1930,26.0,1.6,9.849327842909496
16,Tail,NGC0925,5.7,14.3,2.5198,25.3,0.6,9.849327842909496
18,Tail,NGC0925,7.5,20.0,2.6472,26.3,0.1,9.849327842909496
20,Stream,NGC0936,17.6,46.0,2.6049,26.7,0.1,9.636312471743000
19,Stream,NGC0936,53.2,275.2,5.1686,26.9,0.3,9.636312471743000
21,Tail,NGC1023,7.9,28.8,3.6213,23.7,1.3,8.489135180640041
22,Stream,NGC1121,72.2,363.4,5.0351,26.0,8.6,12.919311697968141
23,Stream,NGC1121,62.5,266.5,4.2650,27.7,1.0,12.919311697968141
24,Tail,NGC1222,28.0,433.8,15.5199,26.3,7.2,12.156737229916331
25,Tail,NGC1222,25.8,367.9,14.2419,26.7,2.7,12.156737229916331
26,Tail,NGC1253,6.9,30.3,4.3954,24.6,3.5,10.812860094431798
27,Tail,NGC1253,4.8,20.1,4.2375,26.0,1.2,10.812860094431798
29,Stream,NGC2481,11.1,152.3,13.7242,26.0,3.6,11.931152432235379
30,Tail,NGC2481,9.5,27.6,2.9034,24.1,2.1,11.931152432235379
28,Stream,NGC2481,77.0,678.9,8.8214,26.8,10.0,11.931152432235379
31,Stream,NGC2543,36.8,257.1,6.9873,26.8,2.5,12.012323351582349
32,Stream,NGC2592,20.4,41.9,2.0558,26.5,0.7,11.969625245641474
33,Tail,NGC2685,8.0,24.3,3.0265,26.8,0.1,10.471199149240388
34,Stream,NGC2685,6.4,7.0,1.1028,26.3,0.1,10.471199149240388
35,Stream,NGC2698,78.1,627.6,8.0380,26.2,7.9,11.241457427228731
36,Tail,NGC2699,65.5,427.5,6.5260,26.3,12.7,11.741668416396486
37,Tail,NGC2699,26.6,421.4,15.8567,26.0,6.8,11.741668416396486
42,Tail,NGC2764,23.2,94.0,4.0599,26.5,0.7,12.486337215362738
41,Tail,NGC2764,12.9,82.8,6.4234,26.9,0.5,12.486337215362738
38,Tail,NGC2764,11.1,76.9,6.9482,26.6,0.7,12.486337215362738
39,Tail,NGC2764,4.4,9.8,2.2256,23.8,1.4,12.486337215362738
40,Tail,NGC2764,3.2,6.7,2.0628,23.5,1.3,12.486337215362738
43,Stream,NGC2768,52.4,225.5,4.3079,26.6,0.3,9.124987903958186
