Feature_ID,Type,Galaxy,ra,dec,Length_kpc,Area_kpc2,Width_kpc,SB_mag_arcsec2,Flux_pct,Total_galaxy_mag
1,Stream,IC1024,217.86342083,3.00910556,49.4,270.8,5.4773,27.3,2.6,12.604971691709292
2,Stream,IC1024,217.86342083,3.00910556,32.4,126.5,3.9077,27.5,1.0,12.604971691709292
3,Stream,IC3102,184.35757136,6.69010623,25.9,113.0,4.3673,26.2,2.7,11.070692991189052
4,Stream,NGC0474,20.02786272,3.41551721,135.1,751.6,5.5623,25.3,21.6,10.862496310149435
5,Stream,NGC0474,20.02786272,3.41551721,59.7,176.0,2.9457,26.0,0.9,10.862496310149435
6,Stream,NGC0474,20.02786272,3.41551721,131.4,727.5,5.5352,25.8,14.0,10.862496310149435
7,Stream,NGC0518,21.07354323,9.33089019,40.8,274.0,6.7149,26.5,3.3,12.633714225829767
9,Tail,NGC0532,21.32229359,9.26424215,9.1,53.7,5.8668,26.1,1.2,11.872512163241137
8,Tail,NGC0532,21.32229359,9.26424215,28.2,171.0,6.0612,25.7,2.8,11.872512163241137
10,Tail,NGC0678,27.35351389,21.99728062,17.0,184.2,10.8666,23.7,8.3,11.661787221504966
11,Tail,NGC0678,27.35351389,21.99728062,22.9,171.9,7.4895,23.6,8.5,11.661787221504966
12,Stream,NGC0680,27.44705126,21.97087292,14.0,31.3,2.2290,26.1,0.2,11.366198712069863
13,Tail,NGC0680,27.44705126,21.97087292,18.8,161.2,8.5984,25.4,1.5,11.366198712069863
