ra,dec,source
201.6001,4.4656,1803_05447
201.6402,2.1751,1803_05447
201.6403,4.4524,1803_05447
201.6614,2.3139,1803_05447
201.692,2.2437,1803_05447
201.7515,2.0359,1803_05447
201.761,2.8478,1803_05447
201.8157,4.2087,1803_05447
201.9181,0.688,1803_05447
201.9521,3.0906,1803_05447
201.9982,2.9944,1803_05447
202.0672,2.9828,1803_05447
202.2624,4.8441,1803_05447
202.3072,0.7279,1803_05447
202.3342,4.1998,1803_05447
202.4001,4.4782,1803_05447
202.4373,1.183,1803_05447
202.4483,0.5105,1803_05447
202.4574,1.0239,1803_05447
202.4614,2.4059,1803_05447
202.4995,0.3052,1803_05447
202.509,0.3172,1803_05447
202.5162,0.3,1803_05447
202.629,0.2711,1803_05447
202.7241,0.938,1803_05447
202.7866,0.6926,1803_05447
202.8537,1.9811,1803_05447
202.9872,3.1178,1803_05447
203.0709,4.2803,1803_05447
203.1045,3.0611,1803_05447
203.13,4.8024,1803_05447
203.1363,0.061,1803_05447
203.1517,2.7678,1803_05447
203.186,0.7688,1803_05447
203.2336,4.9471,1803_05447
203.2424,3.5325,1803_05447
203.2675,4.9818,1803_05447
203.2742,3.8835,1803_05447
203.3876,1.3066,1803_05447
203.4459,2.0455,1803_05447
203.4574,4.445,1803_05447
203.4577,3.3159,1803_05447
203.4593,2.3585,1803_05447
203.4723,3.2932,1803_05447
203.4769,3.2836,1803_05447
203.5067,1.0961,1803_05447
203.5151,4.7539,1803_05447
203.5196,3.3471,1803_05447
203.5238,4.7804,1803_05447
203.5386,4.9881,1803_05447
203.5417,1.9877,1803_05447
203.5425,4.8685,1803_05447
203.5966,4.9285,1803_05447
203.6398,4.9461,1803_05447
203.6405,4.9187,1803_05447
203.6534,0.596,1803_05447
203.6635,4.1304,1803_05447
203.7124,4.2368,1803_05447
203.7305,4.9651,1803_05447
203.769,3.6607,1803_05447
203.8519,1.4107,1803_05447
203.9107,1.5554,1803_05447
203.9178,3.2932,1803_05447
203.918,1.5082,1803_05447
203.9283,3.0018,1803_05447
203.9508,2.9991,1803_05447
203.994,1.7301,1803_05447
203.9994,3.6387,1803_05447
204.0329,3.5093,1803_05447
204.0426,3.3122,1803_05447
204.0881,3.331,1803_05447
204.1562,1.2596,1803_05447
204.1559,4.1887,1803_05447
204.1831,3.2763,1803_05447
204.2007,3.2804,1803_05447
204.2084,3.5253,1803_05447
204.2388,3.4933,1803_05447
204.244,0.2257,1803_05447
204.2613,4.9301,1803_05447
204.2808,4.6924,1803_05447
204.3132,2.4298,1803_05447
204.3279,3.9386,1803_05447
204.3408,4.689,1803_05447
204.3468,3.8975,1803_05447
204.367,2.2205,1803_05447
204.3721,4.1047,1803_05447
204.3752,1.0831,1803_05447
204.3963,0.7821,1803_05447
204.4254,3.4726,1803_05447
204.4691,3.7955,1803_05447
204.5201,4.1413,1803_05447
204.5267,0.0204,1803_05447
204.5473,4.5146,1803_05447
204.5659,4.5425,1803_05447
204.5841,1.8907,1803_05447
204.6027,1.0448,1803_05447
204.6187,0.5102,1803_05447
204.621,2.5285,1803_05447
204.634,0.5403,1803_05447
204.6656,0.5458,1803_05447
204.6835,4.4591,1803_05447
204.7144,4.4317,1803_05447
204.7258,4.1307,1803_05447
204.7339,4.2291,1803_05447
204.7357,2.1508,1803_05447
204.7691,2.1638,1803_05447
204.7961,4.9798,1803_05447
204.8051,4.6233,1803_05447
204.8224,0.3366,1803_05447
204.8639,4.5107,1803_05447
204.8706,1.0733,1803_05447
204.8737,4.5114,1803_05447
204.8839,2.9814,1803_05447
204.9447,2.6264,1803_05447
204.9703,0.8399,1803_05447
204.9772,2.122,1803_05447
204.9899,0.8308,1803_05447
204.993,0.8466,1803_05447
205.0522,2.4802,1803_05447
205.0704,2.4442,1803_05447
205.071,3.8399,1803_05447
205.0749,1.2927,1803_05447
205.0892,1.5425,1803_05447
205.1132,4.7739,1803_05447
205.1134,2.0021,1803_05447
205.1181,3.7586,1803_05447
205.1293,4.7547,1803_05447
205.13,4.6191,1803_05447
205.141,4.8203,1803_05447
205.1441,4.6996,1803_05447
205.1481,4.8168,1803_05447
205.1501,2.0843,1803_05447
205.1773,4.8136,1803_05447
205.2397,0.9261,1803_05447
205.2458,3.0697,1803_05447
205.3334,4.9563,1803_05447
205.3854,4.1942,1803_05447
205.4037,4.846,1803_05447
205.4257,4.4499,1803_05447
205.4281,4.274,1803_05447
205.4662,4.9337,1803_05447
205.4951,2.3124,1803_05447
205.4954,4.7635,1803_05447
205.5209,0.7182,1803_05447
205.5424,3.6961,1803_05447
205.5453,4.2628,1803_05447
205.5717,4.6198,1803_05447
205.6077,3.8561,1803_05447
205.6404,3.1987,1803_05447
205.6441,4.5289,1803_05447
205.6785,3.302,1803_05447
205.7166,0.9463,1803_05447
205.7422,3.2541,1803_05447
205.8309,1.3224,1803_05447
205.9175,3.8966,1803_05447
205.9373,3.8891,1803_05447
205.9902,0.7974,1803_05447
206.0023,4.7344,1803_05447
206.0075,4.0475,1803_05447
206.0199,3.9057,1803_05447
206.0211,3.0506,1803_05447
206.141,4.7758,1803_05447
206.1723,4.9422,1803_05447
206.2103,4.0239,1803_05447
206.5528,3.5058,1803_05447
206.6003,1.5788,1803_05447
206.6233,3.8784,1803_05447
206.6757,3.4597,1803_05447
206.7164,3.7479,1803_05447
206.7254,3.6608,1803_05447
206.7796,3.6224,1803_05447
206.7884,3.644,1803_05447
206.8108,3.1385,1803_05447
206.8271,3.7674,1803_05447
206.8813,0.367,1803_05447
206.9102,3.3341,1803_05447
206.9247,3.3663,1803_05447
206.9296,3.4116,1803_05447
206.9904,3.4497,1803_05447
207.0007,4.9882,1803_05447
207.0255,3.7804,1803_05447
207.0659,4.3705,1803_05447
207.2438,3.5225,1803_05447
207.3173,4.1756,1803_05447
207.3459,4.2591,1803_05447
207.3723,4.2147,1803_05447
207.4114,4.2384,1803_05447
207.42,4.2351,1803_05447
207.4716,4.178,1803_05447
207.4834,4.1399,1803_05447
207.645,4.254,1803_05447
207.7939,4.3615,1803_05447
207.9778,2.4379,1803_05447
207.9889,2.0034,1803_05447
207.9986,2.47,1803_05447
208.0168,3.369,1803_05447
208.0408,3.6368,1803_05447
208.042,2.3253,1803_05447
208.0482,2.3153,1803_05447
208.0505,2.404,1803_05447
208.052,3.6552,1803_05447
208.0607,2.3597,1803_05447
208.095,2.3457,1803_05447
208.1012,0.0889,1803_05447
208.1438,1.7781,1803_05447
208.1495,0.8184,1803_05447
208.1535,0.0225,1803_05447
208.1607,3.464,1803_05447
208.1837,0.8028,1803_05447
208.1855,0.1303,1803_05447
208.1999,1.9635,1803_05447
208.202,0.8,1803_05447
208.2088,2.2637,1803_05447
208.2144,1.6775,1803_05447
208.2356,2.8146,1803_05447
208.2536,2.2621,1803_05447
208.2576,1.4367,1803_05447
208.2897,4.9608,1803_05447
208.3098,3.8984,1803_05447
208.3515,0.9097,1803_05447
208.3819,2.609,1803_05447
208.3848,2.2593,1803_05447
208.425,3.3777,1803_05447
208.4247,0.1217,1803_05447
208.435,1.1881,1803_05447
208.4371,0.0557,1803_05447
208.5163,3.9516,1803_05447
208.5423,3.773,1803_05447
208.5874,4.0356,1803_05447
208.7359,2.0957,1803_05447
208.7711,3.296,1803_05447
208.8102,1.9076,1803_05447
208.9234,2.871,1803_05447
208.9261,4.3948,1803_05447
208.991,3.046,1803_05447
208.9963,0.7541,1803_05447
209.0433,1.7977,1803_05447
209.4567,2.4535,1803_05447
209.6861,2.4567,1803_05447
209.69,2.8443,1803_05447
209.7068,2.0362,1803_05447
209.9659,2.0917,1803_05447
209.981,4.5619,1803_05447
209.9833,1.9944,1803_05447
210.345,1.9913,1803_05447
210.3645,1.9732,1803_05447
210.4436,1.1569,1803_05447
210.5085,0.9933,1803_05447
210.5552,4.0952,1803_05447
210.6747,1.8898,1803_05447
210.7473,0.5162,1803_05447
211.3598,3.0332,1803_05447
212.1365,3.0246,1803_05447
212.1947,4.9099,1803_05447
212.5938,4.0156,1803_05447
212.8887,4.4826,1803_05447
212.9411,1.9473,1803_05447
213.1666,1.755,1803_05447
213.2052,1.4893,1803_05447
213.783,3.1129,1803_05447
213.8002,4.8719,1803_05447
213.8013,4.8242,1803_05447
213.8489,4.4085,1803_05447
213.8551,4.9341,1803_05447
213.9483,4.1601,1803_05447
216.0729,4.6996,1803_05447
216.8522,3.0722,1803_05447
216.8582,2.9454,1803_05447
216.8984,2.9545,1803_05447
216.987,0.0226,1803_05447
218.3894,3.2748,1803_05447
218.6103,0.8308,1803_05447
219.175,2.3859,1803_05447
219.7877,4.5517,1803_05447
219.8941,2.651,1803_05447
220.0273,3.8734,1803_05447
220.154,3.4647,1803_05447
220.1593,3.3564,1803_05447
220.3728,3.1953,1803_05447
220.5885,3.2709,1803_05447
221.8369,0.011,1803_05447
222.3483,4.2312,1803_05447
222.8475,0.0071,1803_05447
223.2881,4.8512,1803_05447
223.5791,4.9365,1803_05447
223.6302,4.9379,1803_05447
223.8019,2.8169,1803_05447
223.8065,3.612,1803_05447
223.8874,3.0372,1803_05447
224.0283,1.925,1803_05447
224.11,2.3477,1803_05447
224.2297,4.2051,1803_05447
224.3771,3.7758,1803_05447
224.5346,3.424,1803_05447
224.6416,3.5185,1803_05447
225.9595,0.5655,1803_05447
227.6531,3.309,1803_05447
230.9415,2.6703,1803_05447
230.9459,4.2614,1803_05447
231.2453,4.7897,1803_05447
231.2683,4.8298,1803_05447
231.2711,4.9064,1803_05447
231.716,3.5975,1803_05447
231.7359,4.0737,1803_05447
232.1705,1.3774,1803_05447
233.3986,3.8752,1803_05447
233.8943,4.7848,1803_05447
233.9136,2.4279,1803_05447
234.5443,4.7804,1803_05447
234.7283,4.583,1803_05447
235.0844,3.6343,1803_05447
235.8745,4.7944,1803_05447
235.9976,4.0264,1803_05447
142.8539,4.3432,1803_05447
155.6602,0.6204,1803_05447
158.7728,0.2814,1803_05447
159.3828,0.5214,1803_05447
189.6056,1.7844,1803_05447
190.6622,0.6859,1803_05447
206.0439,4.1469,1803_05447
206.8839,4.0966,1803_05447
180.8632,4.867,1803_05447
203.9971,3.7641,1803_05447
211.1573,0.1092,1803_05447
149.9174,0.0443,1803_05447
163.0289,4.4741,1803_05447
169.7485,3.3125,1803_05447
203.5202,3.3308,1803_05447
151.4852,3.7701,1803_05447
142.4405,2.2065,1803_05447
134.4838,1.5168,1803_05447
139.503,0.5291,1803_05447
141.3356,3.115,1803_05447
142.3618,1.8759,1803_05447
143.8406,2.9858,1803_05447
144.4216,2.7787,1803_05447
144.5536,2.9439,1803_05447
146.4588,3.6698,1803_05447
146.5744,3.4161,1803_05447
146.8864,3.9821,1803_05447
147.9994,4.2402,1803_05447
148.5591,2.4802,1803_05447
151.4295,1.6153,1803_05447
152.7584,3.5746,1803_05447
156.496,0.5128,1803_05447
156.9588,2.5041,1803_05447
159.633,0.0967,1803_05447
159.6846,3.8993,1803_05447
168.2578,4.0384,1803_05447
168.9721,4.3786,1803_05447
169.0428,3.5344,1803_05447
170.0688,0.7045,1803_05447
173.4203,2.2507,1803_05447
173.4828,1.0331,1803_05447
174.2541,3.4388,1803_05447
177.8848,2.4102,1803_05447
180.6956,2.4008,1803_05447
183.8728,2.7613,1803_05447
185.3295,3.7876,1803_05447
186.1098,1.7725,1803_05447
187.7509,0.2653,1803_05447
188.8259,1.3832,1803_05447
192.0318,3.6333,1803_05447
194.5696,4.1307,1803_05447
200.6988,3.7794,1803_05447
204.5497,4.2409,1803_05447
204.5765,3.9256,1803_05447
205.2074,2.8178,1803_05447
205.3332,2.9656,1803_05447
206.1743,3.0473,1803_05447
206.3765,1.2558,1803_05447
208.4995,3.2323,1803_05447
208.7397,3.369,1803_05447
209.7851,3.5114,1803_05447
210.8941,1.8584,1803_05447
215.1405,4.6851,1803_05447
132.0036,0.8165,1803_05447
133.5799,1.9931,1803_05447
134.5431,1.3432,1803_05447
135.589,0.6822,1803_05447
136.4167,1.8575,1803_05447
136.5226,0.2134,1803_05447
137.1463,2.9022,1803_05447
139.631,1.3344,1803_05447
139.7082,1.0231,1803_05447
139.7124,0.7775,1803_05447
140.0523,1.1523,1803_05447
140.2569,0.9243,1803_05447
140.4378,1.2413,1803_05447
140.7933,1.4532,1803_05447
140.968,0.8158,1803_05447
174.1955,0.3986,1803_05447
174.7019,0.3012,1803_05447
175.8209,0.4806,1803_05447
177.0394,0.112,1803_05447
180.0132,0.3429,1803_05447
180.3924,1.4737,1803_05447
180.451,1.7724,1803_05447
180.98,0.5518,1803_05447
180.9963,1.8322,1803_05447
181.0468,1.7697,1803_05447
181.0546,1.691,1803_05447
181.0941,1.8673,1803_05447
181.1721,0.0134,1803_05447
181.186,1.7126,1803_05447
181.1889,1.9203,1803_05447
181.1929,1.5012,1803_05447
181.203,1.6466,1803_05447
181.2426,1.7513,1803_05447
181.3419,1.8346,1803_05447
181.5265,1.6002,1803_05447
181.6248,1.8279,1803_05447
181.7834,1.0773,1803_05447
181.8657,1.2976,1803_05447
182.1418,1.2017,1803_05447
182.5249,0.3098,1803_05447
182.5307,0.4262,1803_05447
182.6414,0.6715,1803_05447
182.7987,1.1208,1803_05447
182.8979,0.591,1803_05447
182.9272,1.3521,1803_05447
183.0482,0.1263,1803_05447
185.2601,0.0062,1803_05447
185.9639,0.5147,1803_05447
216.9574,1.4699,1803_05447
217.2389,1.0684,1803_05447
218.9125,1.152,1803_05447
222.8073,0.0282,1803_05447
139.99,0.8454,1803_05447
0.0134,-1.1129,1803_05447
0.0186,-0.0834,1803_05447
0.0326,-0.0403,1803_05447
0.7089,-0.5887,1803_05447
1.1467,0.8486,1803_05447
1.909,-0.3677,1803_05447
2.2105,-1.1702,1803_05447
2.3154,0.8126,1803_05447
3.0254,-0.4151,1803_05447
3.4826,0.016,1803_05447
4.1918,-1.1082,1803_05447
4.2867,-0.958,1803_05447
4.3577,-0.9782,1803_05447
4.4165,0.5062,1803_05447
4.4761,0.3296,1803_05447
4.4808,0.3353,1803_05447
4.5359,0.4781,1803_05447
4.7535,0.6618,1803_05447
4.8128,0.9156,1803_05447
4.891,1.0491,1803_05447
4.9472,0.5907,1803_05447
4.997,0.7293,1803_05447
5.0072,0.6539,1803_05447
5.0747,1.1145,1803_05447
5.1077,0.8266,1803_05447
5.1147,0.8335,1803_05447
5.1195,0.5411,1803_05447
5.1411,0.8565,1803_05447
5.2572,0.9926,1803_05447
5.2621,0.8335,1803_05447
5.2824,0.8317,1803_05447
5.397,1.1655,1803_05447
5.4409,0.5576,1803_05447
5.5868,1.1263,1803_05447
5.9486,-0.6614,1803_05447
6.1214,-0.8294,1803_05447
6.268,-1.0508,1803_05447
6.3251,-1.2311,1803_05447
6.3331,0.5255,1803_05447
6.3934,0.8468,1803_05447
6.6043,1.0201,1803_05447
6.6369,1.0944,1803_05447
6.9744,-0.9667,1803_05447
7.1395,-1.1799,1803_05447
7.2011,-0.1676,1803_05447
7.41,0.4104,1803_05447
7.6825,-0.2994,1803_05447
7.7174,0.5289,1803_05447
7.7201,0.542,1803_05447
7.7527,0.4356,1803_05447
7.8004,-0.4073,1803_05447
7.9306,0.9006,1803_05447
7.9481,0.5587,1803_05447
7.9583,-0.991,1803_05447
8.3122,0.2014,1803_05447
8.8726,0.532,1803_05447
9.1263,-0.2872,1803_05447
9.3702,0.2777,1803_05447
9.4215,0.5555,1803_05447
9.4993,0.7101,1803_05447
9.6684,1.1407,1803_05447
9.8059,0.8643,1803_05447
9.8144,0.9427,1803_05447
9.8244,0.9128,1803_05447
9.8954,0.86,1803_05447
9.9306,0.9606,1803_05447
9.9442,0.0814,1803_05447
10.019,0.0482,1803_05447
10.1122,-0.0452,1803_05447
10.1133,0.3285,1803_05447
10.1465,-0.2935,1803_05447
10.1496,-0.2714,1803_05447
10.1579,-0.3303,1803_05447
10.2188,-0.525,1803_05447
10.2477,0.7717,1803_05447
10.2681,0.9079,1803_05447
10.3722,-1.196,1803_05447
10.4,1.0738,1803_05447
10.4083,0.2579,1803_05447
10.4174,0.209,1803_05447
10.4424,1.1774,1803_05447
10.4559,-1.0283,1803_05447
10.46,-1.0238,1803_05447
10.5157,0.7191,1803_05447
10.5385,-0.0878,1803_05447
10.5472,0.9046,1803_05447
10.5662,0.8454,1803_05447
10.6295,1.0772,1803_05447
10.7107,-0.8152,1803_05447
10.8663,-0.125,1803_05447
10.8858,-0.0505,1803_05447
10.9662,0.8018,1803_05447
11.123,1.1086,1803_05447
11.1621,-0.3623,1803_05447
11.3908,-1.1041,1803_05447
11.3962,-1.2061,1803_05447
11.6964,-0.7013,1803_05447
11.8198,-1.1486,1803_05447
12.2548,0.6697,1803_05447
12.3989,1.1159,1803_05447
12.4678,0.9628,1803_05447
12.5509,-0.583,1803_05447
12.6211,-0.5306,1803_05447
12.715,0.8514,1803_05447
12.956,0.5648,1803_05447
13.5649,-1.0822,1803_05447
13.6663,0.7555,1803_05447
13.9222,-0.9419,1803_05447
13.9374,0.5884,1803_05447
14.5235,-0.8996,1803_05447
14.6669,0.5817,1803_05447
14.7036,0.5874,1803_05447
14.7314,1.0057,1803_05447
14.7672,1.0012,1803_05447
14.918,-0.777,1803_05447
14.9258,0.9168,1803_05447
14.9855,-1.2219,1803_05447
15.2091,-0.7313,1803_05447
15.4572,0.4735,1803_05447
15.504,0.5122,1803_05447
15.6768,-0.7494,1803_05447
15.7246,-0.3197,1803_05447
15.7479,-0.6782,1803_05447
15.7573,-1.1108,1803_05447
15.808,-0.7123,1803_05447
15.8221,-0.3409,1803_05447
15.8314,-0.5896,1803_05447
15.89,-0.6069,1803_05447
15.9119,-0.4907,1803_05447
15.9651,-0.3585,1803_05447
15.9751,-0.4406,1803_05447
15.9835,-0.673,1803_05447
15.9905,-0.8981,1803_05447
16.0305,-0.97,1803_05447
16.0371,-0.0955,1803_05447
16.0595,-0.1166,1803_05447
16.0604,-0.7803,1803_05447
16.0616,-0.8446,1803_05447
16.0632,-1.1141,1803_05447
16.07,-1.0749,1803_05447
16.0708,-0.7648,1803_05447
16.1093,-0.6596,1803_05447
16.1217,-0.4406,1803_05447
16.1495,-0.9182,1803_05447
16.1614,-0.8909,1803_05447
16.1703,-0.8026,1803_05447
16.1731,-0.9556,1803_05447
16.2055,-0.2881,1803_05447
16.2162,-0.6478,1803_05447
16.2366,-0.906,1803_05447
16.2794,-0.8195,1803_05447
16.3284,-0.4609,1803_05447
16.3727,-0.3443,1803_05447
16.4755,-0.986,1803_05447
16.4984,0.2691,1803_05447
16.5296,0.7763,1803_05447
16.5977,0.3454,1803_05447
16.6166,0.65,1803_05447
16.6397,-0.1336,1803_05447
16.6448,-0.7667,1803_05447
16.6585,0.6979,1803_05447
16.6954,0.2437,1803_05447
16.7125,-0.5704,1803_05447
16.7358,-0.7565,1803_05447
16.7476,-0.596,1803_05447
16.7663,-0.0361,1803_05447
16.7884,-0.6215,1803_05447
16.789,-0.6499,1803_05447
16.8276,0.9341,1803_05447
16.8441,0.926,1803_05447
16.8476,0.8927,1803_05447
16.8483,1.0003,1803_05447
16.8613,0.8908,1803_05447
16.8813,0.8898,1803_05447
16.92,-0.8048,1803_05447
17.0091,-0.0754,1803_05447
17.0145,1.1454,1803_05447
17.0219,-0.7949,1803_05447
17.0555,-0.3433,1803_05447
17.0928,0.02,1803_05447
17.385,-0.3439,1803_05447
17.4277,-0.9537,1803_05447
17.5049,0.4119,1803_05447
17.6595,-0.2779,1803_05447
17.7071,0.5501,1803_05447
17.7119,0.1982,1803_05447
17.7472,0.4337,1803_05447
17.8157,-0.4557,1803_05447
17.8981,0.4623,1803_05447
17.9356,1.1583,1803_05447
17.944,-0.6643,1803_05447
17.9596,-0.6197,1803_05447
17.9638,-0.6302,1803_05447
18.0361,-0.4101,1803_05447
18.1413,0.2937,1803_05447
18.1488,-0.4146,1803_05447
18.169,-0.5281,1803_05447
18.1776,-0.2454,1803_05447
18.1784,-0.4025,1803_05447
18.2024,-0.2901,1803_05447
18.2393,-0.3449,1803_05447
18.2498,-0.2524,1803_05447
18.2619,0.678,1803_05447
18.3106,-0.3416,1803_05447
18.3342,-0.3955,1803_05447
18.3535,0.2205,1803_05447
18.4244,-0.1026,1803_05447
18.4416,0.9455,1803_05447
18.5555,-0.2838,1803_05447
18.6318,-0.0671,1803_05447
18.6558,1.1817,1803_05447
18.6611,-1.0204,1803_05447
18.6929,-0.001,1803_05447
18.6971,1.1213,1803_05447
18.797,-1.1502,1803_05447
18.8172,-1.1,1803_05447
18.8426,-0.1584,1803_05447
18.9039,-0.9528,1803_05447
19.1499,1.2023,1803_05447
19.2236,0.1532,1803_05447
19.3622,-0.7832,1803_05447
19.5519,0.4767,1803_05447
19.6157,-1.0253,1803_05447
19.687,-0.9061,1803_05447
19.7689,-0.1384,1803_05447
19.8209,-0.1137,1803_05447
19.9326,-0.3826,1803_05447
19.9723,-0.0876,1803_05447
19.9946,0.7222,1803_05447
20.0326,0.0771,1803_05447
20.2436,-1.1586,1803_05447
20.3195,-0.5443,1803_05447
20.3654,0.7103,1803_05447
20.4522,0.9431,1803_05447
20.4908,0.5738,1803_05447
20.5879,-0.486,1803_05447
20.6434,0.8665,1803_05447
20.6637,-0.0965,1803_05447
20.6676,0.7211,1803_05447
20.6917,-0.4264,1803_05447
20.7537,1.2089,1803_05447
20.855,0.7552,1803_05447
20.8722,1.2182,1803_05447
20.8804,1.1799,1803_05447
20.9571,0.2726,1803_05447
20.9734,-0.085,1803_05447
20.9782,0.2824,1803_05447
20.9783,-0.3114,1803_05447
20.9895,1.1057,1803_05447
21.062,1.0489,1803_05447
21.08,-0.0511,1803_05447
21.1236,-0.3693,1803_05447
21.1263,-0.8885,1803_05447
21.128,0.8345,1803_05447
21.132,-1.1765,1803_05447
21.1341,-1.1987,1803_05447
21.1553,-0.7798,1803_05447
21.2024,1.0368,1803_05447
21.2041,1.1743,1803_05447
21.2189,-1.2401,1803_05447
21.2289,-1.1083,1803_05447
21.2754,-0.4086,1803_05447
21.278,-0.1353,1803_05447
21.3124,-1.124,1803_05447
21.32,1.1641,1803_05447
21.34,0.1605,1803_05447
21.3428,-0.6442,1803_05447
21.3487,-1.1947,1803_05447
21.3494,-1.0816,1803_05447
21.3714,-0.0573,1803_05447
21.3741,-0.7037,1803_05447
21.3922,-1.2076,1803_05447
21.4146,0.13,1803_05447
21.4156,1.1782,1803_05447
21.4482,-1.1795,1803_05447
21.4781,-0.9878,1803_05447
21.4901,0.9667,1803_05447
21.5105,-1.2255,1803_05447
21.5231,-0.4201,1803_05447
21.5569,0.3585,1803_05447
21.599,-0.9387,1803_05447
21.6222,0.5489,1803_05447
21.6459,-1.1129,1803_05447
21.6497,-0.8707,1803_05447
21.6542,-0.0899,1803_05447
21.6762,-1.0878,1803_05447
21.6903,-0.5464,1803_05447
21.6905,-0.1978,1803_05447
21.7073,-0.9747,1803_05447
21.7157,-0.2225,1803_05447
21.722,-1.1892,1803_05447
21.7325,-0.0151,1803_05447
21.7338,-1.2395,1803_05447
21.738,-0.8935,1803_05447
21.7453,-1.1131,1803_05447
21.7647,-0.2565,1803_05447
21.7775,-1.1223,1803_05447
21.8111,1.0281,1803_05447
21.8124,-0.5774,1803_05447
21.8377,-0.2691,1803_05447
21.8448,-0.8658,1803_05447
21.8631,-1.1174,1803_05447
21.8983,-0.9886,1803_05447
21.8995,-1.1049,1803_05447
21.9032,-0.5461,1803_05447
21.9291,-1.1394,1803_05447
21.933,-0.9046,1803_05447
21.9452,0.5009,1803_05447
21.9688,-0.5041,1803_05447
22.0077,-0.669,1803_05447
22.009,-0.7383,1803_05447
22.156,-0.0693,1803_05447
22.2356,0.6333,1803_05447
22.2444,-0.9488,1803_05447
22.2481,-0.5618,1803_05447
22.3608,-1.1997,1803_05447
22.4333,-1.2414,1803_05447
22.4719,-1.1719,1803_05447
22.5151,0.7432,1803_05447
22.5258,0.7451,1803_05447
22.5369,-0.7789,1803_05447
22.617,-0.7301,1803_05447
22.7105,-0.7498,1803_05447
22.8019,-0.6108,1803_05447
22.8456,-0.674,1803_05447
22.8549,-0.886,1803_05447
22.86,-0.4541,1803_05447
22.8666,-0.9341,1803_05447
22.9184,-1.1824,1803_05447
22.9256,-0.9327,1803_05447
22.9776,-0.8145,1803_05447
23.0224,-0.726,1803_05447
23.1772,-1.1004,1803_05447
23.2583,-0.6898,1803_05447
23.2805,0.176,1803_05447
23.3946,-1.0908,1803_05447
23.4226,-1.1583,1803_05447
23.4361,0.9531,1803_05447
23.5104,-1.0757,1803_05447
23.5316,-1.0483,1803_05447
23.5331,-1.0321,1803_05447
23.5707,-1.1274,1803_05447
23.6564,-1.0522,1803_05447
23.7168,-0.6487,1803_05447
23.7866,0.7178,1803_05447
23.8071,-1.177,1803_05447
23.9027,0.0149,1803_05447
23.9337,-0.388,1803_05447
24.0007,0.6636,1803_05447
24.0555,-0.6104,1803_05447
24.2964,0.8824,1803_05447
24.405,0.0403,1803_05447
24.6346,-0.5163,1803_05447
24.6457,0.335,1803_05447
24.6788,-0.3479,1803_05447
24.6975,1.0719,1803_05447
24.8215,0.3395,1803_05447
24.9792,-0.2547,1803_05447
25.0604,-0.5151,1803_05447
25.2206,-0.2137,1803_05447
25.3146,-0.7046,1803_05447
25.6289,-0.8193,1803_05447
26.264,-0.301,1803_05447
26.7279,-0.6139,1803_05447
26.9578,-0.3041,1803_05447
27.1257,-0.2126,1803_05447
27.1275,-0.0628,1803_05447
27.5296,-0.7398,1803_05447
27.7635,0.3106,1803_05447
27.9186,-0.0711,1803_05447
28.1012,-0.2854,1803_05447
28.2243,-0.9021,1803_05447
28.3582,-1.1892,1803_05447
28.4094,1.1619,1803_05447
28.497,-0.7504,1803_05447
28.507,-0.0465,1803_05447
28.5335,-0.7422,1803_05447
28.5652,0.087,1803_05447
28.5933,-0.6284,1803_05447
28.6099,-0.2119,1803_05447
28.6238,-0.5262,1803_05447
28.6236,1.1923,1803_05447
28.6364,-0.7701,1803_05447
28.6502,-0.1562,1803_05447
28.6518,-0.0714,1803_05447
28.6711,-0.1432,1803_05447
28.6745,0.6118,1803_05447
28.6809,-0.2786,1803_05447
28.6938,-0.7389,1803_05447
28.7213,-0.597,1803_05447
28.7432,-0.4749,1803_05447
28.7577,-0.6263,1803_05447
28.7649,0.0129,1803_05447
28.8621,0.1044,1803_05447
28.8678,0.9505,1803_05447
28.8995,-0.3912,1803_05447
28.9078,-0.5839,1803_05447
29.0441,0.2545,1803_05447
29.145,-1.1827,1803_05447
29.1783,-0.766,1803_05447
29.2286,-0.6402,1803_05447
29.2337,-0.8154,1803_05447
29.2722,-0.4684,1803_05447
29.301,-0.4928,1803_05447
29.6273,-0.5055,1803_05447
29.646,-0.4855,1803_05447
29.649,0.1492,1803_05447
29.6587,0.4855,1803_05447
29.6824,0.7613,1803_05447
29.7178,0.5684,1803_05447
29.7975,0.11,1803_05447
29.7975,0.3779,1803_05447
29.9193,0.721,1803_05447
30.0363,0.4641,1803_05447
30.0653,0.1993,1803_05447
30.2894,0.0861,1803_05447
30.4731,-0.2558,1803_05447
30.5492,-0.1303,1803_05447
30.5517,-0.1009,1803_05447
30.8577,-0.8205,1803_05447
30.8578,0.9603,1803_05447
30.9224,-1.1265,1803_05447
30.9226,1.1976,1803_05447
31.1273,0.4312,1803_05447
31.1966,0.8351,1803_05447
31.2001,1.2078,1803_05447
31.2296,0.7705,1803_05447
31.3262,0.0557,1803_05447
31.4433,0.6261,1803_05447
31.6257,0.9735,1803_05447
31.6772,-0.8601,1803_05447
31.7495,1.0137,1803_05447
31.7633,1.0423,1803_05447
31.8692,0.6855,1803_05447
31.945,0.0355,1803_05447
32.1904,0.4848,1803_05447
32.201,0.8007,1803_05447
32.2752,1.1838,1803_05447
32.3333,1.0453,1803_05447
32.3465,0.8909,1803_05447
