ra,dec,source
30.322906,-9.311458,1301_4275
31.020853,-9.106462,1301_4275
30.634579,-8.93706,1301_4275
30.580271,-8.897491,1301_4275
31.069664,-8.868791,1301_4275
31.105413,-8.840892,1301_4275
30.353409,-8.779748,1301_4275
30.943834,-8.557221,1301_4275
31.439518,-9.213283,1301_4275
31.273115,-9.018538,1301_4275
31.317882,-8.98844,1301_4275
31.285994,-8.912488,1301_4275
31.250198,-8.710932,1301_4275
31.652765,-8.685903,1301_4275
31.861036,-8.613501,1301_4275
31.166386,-8.60813,1301_4275
32.003056,-8.411625,1301_4275
32.683708,-9.228481,1301_4275
33.019218,-9.128716,1301_4275
32.478092,-9.08216,1301_4275
33.058464,-8.905539,1301_4275
32.199753,-8.833365,1301_4275
32.634121,-8.820353,1301_4275
32.197437,-8.713874,1301_4275
32.400856,-8.496565,1301_4275
33.134842,-9.216304,1301_4275
33.321972,-9.192824,1301_4275
33.592514,-9.104666,1301_4275
33.53682,-9.013524,1301_4275
33.823746,-9.017983,1301_4275
33.430519,-8.509462,1301_4275
34.078667,-9.309242,1301_4275
34.039547,-9.233173,1301_4275
34.550709,-9.030195,1301_4275
34.82542,-9.022326,1301_4275
34.049931,-9.011267,1301_4275
34.261826,-8.9894,1301_4275
34.405296,-8.95299,1301_4275
34.123463,-8.897534,1301_4275
34.342415,-8.880447,1301_4275
34.492828,-8.831283,1301_4275
34.588104,-8.807344,1301_4275
34.458447,-8.667436,1301_4275
34.875824,-8.406717,1301_4275
35.774872,-9.247176,1301_4275
35.354874,-9.218025,1301_4275
35.370956,-9.163622,1301_4275
35.399403,-9.168033,1301_4275
35.887535,-9.034291,1301_4275
35.589836,-9.01003,1301_4275
35.534065,-8.86964,1301_4275
35.867577,-8.865355,1301_4275
35.079681,-8.786392,1301_4275
35.289887,-8.788397,1301_4275
35.503918,-8.693703,1301_4275
35.171421,-8.663119,1301_4275
35.375603,-8.637333,1301_4275
35.080135,-8.635124,1301_4275
